pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
Kepler-1926 b,Kepler-1926,Transit,1,42.87770081,0.2197,2.31495961,5.97,2.64,0.0,451.0,9.8,5256.0,0.832,0.768,-0.16,4.483,667.405,1,1
Kepler-1718 b,Kepler-1718,Transit,1,135.1880035,0.48418,2.5685207,7.12,2.31,0.0,345.0,3.7,5731.0,0.906,0.846,-0.32,4.451,375.522,1,1
Kepler-1972 c,Kepler-1972,Transit,1,11.3295,0.10493,0.868,2.11,18.4,0.043,1215.0,198.4,5818.0,1.384,1.12,0.23,4.2,287.339,1,2
Kepler-501 c,Kepler-501,Transit,1,3.622760057,0.0467,1.68119739,3.47,4.01,0.0,1304.0,683.84,5794.0,1.216,1.032,0.14,4.282,1125.24,1,2
Kepler-1312 c,Kepler-1312,Transit,1,1.116119981,0.02103,1.02732734,1.07,5.42,0.0,1659.0,1770.2,5721.0,0.905,0.983,0.02,4.517,299.104,1,2
Kepler-1950 b,Kepler-1950,Transit,1,10.77690029,0.0871,1.52696349,2.95,4.55,0.0,752.0,75.83,5455.0,0.852,0.759,-0.34,4.457,697.253,1,1
Kepler-1951 b,Kepler-1951,Transit,1,20.65780067,0.1435,2.32107188,6.0,2.64,0.0,728.0,66.27,5468.0,1.306,0.923,0.14,4.171,1277.32,1,1
Kepler-607 c,Kepler-607,Transit,1,39.67679977,0.21507,2.76001201,8.05,2.1,0.0,473.0,8.8,5244.0,0.888,0.808,0.02,4.449,519.122,1,2
Kepler-1721 b,Kepler-1721,Transit,1,4.592380047,0.0519,3.11856756,9.9,1.79,0.0,924.0,172.6,5351.0,0.796,0.89,-0.04,4.582,641.374,1,1
Kepler-1869 b,Kepler-1869,Transit,1,8.167360306,0.07976,1.11955354,1.46,5.72,0.0,865.0,138.5,5808.0,0.902,0.987,-0.06,4.522,113.025,1,2
Kepler-1315 c,Kepler-1315,Transit,1,6.566060066,0.0635,1.84398883,4.06,3.56,0.0,777.0,57.6,4818.0,0.856,0.809,0.56,4.481,480.869,1,2
Kepler-1728 b,Kepler-1728,Transit,1,4.782999992,0.0535,2.95501875,9.04,1.93,0.0,886.0,145.48,5170.0,0.807,0.891,0.18,4.574,651.783,1,1
Kepler-1705 c,Kepler-1705,Transit,1,11.28,,2.05,5.42,3.528714,0.028,,,6312.0,1.259,1.139,-0.2,4.298,1633.49,1,2
Kepler-1322 c,Kepler-1322,Transit,1,6.459980011,0.0652,2.15492527,5.29,2.9,0.0,883.0,144.06,5704.0,0.804,0.897,-0.3,4.575,1350.32,1,2
Kepler-1693 c,Kepler-1693,Transit,1,5.363709927,0.0588,0.97698289,0.894,5.27,0.0,1059.0,296.73,5553.0,1.098,0.941,0.16,4.33,760.065,1,2
Kepler-1956 b,Kepler-1956,Transit,1,5.943719864,0.0563,1.08940238,1.32,5.61,0.0,674.0,48.82,4391.0,0.682,0.671,0.04,4.598,360.468,1,1
