pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
Kepler-344 c,Kepler-344,Transit,1,125.596809,0.488,2.95,9.01,1.93,0.0,360.0,2.673,5774.0,0.976,0.931,0.0399,4.451,1002.94,1,2
Kepler-304 d,Kepler-304,Transit,1,9.653471,0.08,2.75,8.0,2.11,0.0,611.0,33.16,4731.0,0.687,0.737,0.03,4.635,434.684,1,4
Kepler-304 c,Kepler-304,Transit,1,5.315946,0.054,2.17,5.35,2.88,0.0,746.0,73.598,4731.0,0.687,0.737,0.03,4.635,434.684,1,4
Kepler-81 d,Kepler-81,Transit,1,20.837846,0.128,1.21,1.92,5.96,0.0,418.0,7.507,4500.0,0.595,0.648,-0.18,4.696,348.291,1,3
Kepler-548 b,Kepler-548,Transit,1,4.454194338,0.0495,11.99,,,0.0,1017.0,237.035,5535.0,0.9,0.93,0.0,4.5,751.776,1,1
Kepler-723 b,Kepler-723,Transit,1,4.082275068,0.0479,12.19,,,0.0,1016.0,251.48,5539.0,0.89,0.92,0.0,4.51,1071.8,1,1
Kepler-197 e,Kepler-197,Transit,1,25.209715,0.164,0.91,0.693,5.05,0.38,691.0,57.941,6004.0,1.12,0.857,-0.441,4.304,330.575,2,4
Kepler-200 c,Kepler-200,Transit,1,10.222157,0.09,1.59,3.15,4.31,0.0,806.0,126.361,5678.0,0.944,0.972,-0.006,4.454,665.912,1,2
Kepler-346 c,Kepler-346,Transit,1,23.851549,0.168,3.07,9.64,1.83,0.0,654.0,23.812,6033.0,1.021,0.943,0.1,4.464,984.105,1,2
Kepler-350 b,Kepler-350,Transit,1,11.189562,0.104,1.85,16.9,4.9,0.0,1037.0,257.721,6186.0,1.534,1.19,0.041,4.15,956.859,1,3
Kepler-306 e,Kepler-306,Transit,1,44.840975,0.227,2.27,5.77,2.71,0.0,390.0,6.185,4954.0,0.719,0.75,-0.13,4.611,775.679,1,4
Kepler-84 e,Kepler-84,Transit,1,27.434389,0.181,2.6,7.27,2.27,0.0,672.0,48.29,6031.0,1.169,1.06,-0.07,4.323,1023.9,1,5
Kepler-265 e,Kepler-265,Transit,1,67.831024,0.319,2.59,7.22,2.28,0.0,476.0,10.354,5835.0,1.103,0.97,-0.11,4.326,1280.25,1,4
Kepler-217 c,Kepler-217,Transit,1,8.586004,0.089,1.85,4.08,3.54,0.0,1208.0,730.808,6171.0,1.799,1.342,-0.07,4.03,1104.64,1,3
Kepler-220 d,Kepler-220,Transit,1,28.122397,0.163,0.98,0.904,5.28,0.0,401.0,8.208,4632.0,0.666,0.729,-0.1738,4.652,171.109,1,4
Kepler-351 b,Kepler-351,Transit,1,37.054919,0.214,3.06,4.8,0.921,0.0,498.0,11.983,5643.0,0.854,0.81,-0.16,4.556,1083.91,1,3
Kepler-352 b,Kepler-352,Transit,1,10.05537,0.085,0.86,0.566,4.89,0.0,694.0,50.389,5212.0,0.781,0.798,-0.11,4.566,252.733,1,3
Kepler-84 d,Kepler-84,Transit,1,4.224537,0.052,1.38,2.48,5.19,0.0,1254.0,584.24,6031.0,1.169,1.06,-0.07,4.323,1023.9,1,5
Kepler-310 d,Kepler-310,Transit,1,92.876125,0.392,2.47,7.0,3.3,0.0,353.0,3.664,5797.0,0.876,0.854,-0.12,4.521,602.268,1,3
Kepler-282 b,Kepler-282,Transit,1,9.220524,0.082,1.01,1.01,5.39,0.0,817.0,195.935,5602.0,0.904,0.86,-0.2,4.459,1337.61,1,4
Kepler-282 c,Kepler-282,Transit,1,13.638723,0.106,1.2,1.87,5.95,0.0,717.0,116.117,5602.0,0.904,0.86,-0.2,4.459,1337.61,1,4
Kepler-220 e,Kepler-220,Transit,1,45.902733,0.226,1.33,2.33,5.44,0.0,341.0,4.274,4632.0,0.666,0.729,-0.1738,4.652,171.109,1,4
Kepler-154 c,Kepler-154,Transit,1,62.303276,0.303,2.95,9.01,1.93,0.0,454.0,12.071,5690.0,1.001,0.933,0.02,4.415,915.212,1,5
Kepler-353 b,Kepler-353,Transit,1,5.795278,0.051,0.89,0.64,4.99,0.0,534.0,27.189,3903.0,0.504,0.553,-0.12,4.751,384.694,2,2
Kepler-85 e,Kepler-85,Transit,1,25.216751,0.163,1.27,0.6,1.6,0.0,559.0,24.318,5436.0,0.893,0.947,0.12,4.494,765.025,1,4
Kepler-55 e,Kepler-55,Transit,1,4.617534,0.048,1.55,3.02,4.46,0.0,728.0,73.157,4503.0,0.619,0.631,-0.01,4.684,578.796,1,5
Kepler-310 b,Kepler-310,Transit,1,13.930698,0.111,1.19,1.81,5.9,0.0,665.0,45.97,5797.0,0.876,0.854,-0.12,4.521,602.268,1,3
Kepler-286 e,Kepler-286,Transit,1,29.221289,0.176,1.77,3.78,3.75,0.0,539.0,20.6,5580.0,0.863,0.83,-0.25,4.495,1226.85,1,4
Kepler-368 c,Kepler-368,Transit,1,72.379334,0.36,3.88,14.3,1.35,0.0,575.0,28.681,5502.0,2.019,1.165,0.03,3.903,770.978,1,2
Kepler-356 b,Kepler-356,Transit,1,4.612696,0.057,1.57,3.09,4.39,0.0,1294.0,844.979,6133.0,1.335,1.163,-0.0226,4.256,707.559,1,2
Kepler-354 d,Kepler-354,Transit,1,24.209842,0.146,1.24,2.07,5.97,0.0,451.0,8.949,4648.0,0.674,0.652,-0.03,4.627,554.064,1,3
Kepler-313 c,Kepler-313,Transit,1,32.273273,0.208,2.57,7.13,2.31,0.0,683.0,51.1,5727.0,1.536,1.114,0.26,4.127,1079.39524871,1,2
Kepler-142 b,Kepler-142,Transit,1,2.024152,0.032,1.99,4.62,3.22,0.0,1597.0,1247.908,5790.0,1.269,0.978,0.05,4.262,548.686,1,3
Kepler-487 b,Kepler-487,Transit,1,15.358768403,0.11819,11.42,,,0.0,662.0,51.492,5444.0,0.88,0.91,0.0,4.51,872.343,1,3
Kepler-506 b,Kepler-506,Transit,1,6.8834055,0.07437,2.73,7.9,2.13,0.0,1080.0,330.547,6236.0,1.19,1.19,0.09,4.36,228.439,1,1
Kepler-58 d,Kepler-58,Transit,1,40.101371,0.236,2.94,245.343,0.53,0.0,583.0,18.244,6099.0,1.127,1.024,0.1,4.372,969.252,1,4
Kepler-299 e,Kepler-299,Transit,1,38.285489,0.22,1.87,4.16,3.5,0.0,534.0,20.174,5617.0,1.032,1.004,0.12,4.394,1052.24,1,4
Kepler-372 b,Kepler-372,Transit,1,6.849692,0.075,1.36,2.42,5.29,0.0,1081.0,384.627,6509.0,1.137,1.202,-0.13,4.405,1493.95,1,3
Kepler-378 c,Kepler-378,Transit,1,28.906009,0.166,0.7,0.271,4.34,0.0,414.0,8.166,4661.0,0.671,0.78,0.1369,4.647,152.094,1,2
Kepler-357 c,Kepler-357,Transit,1,16.85837,0.12,2.67,7.61,2.2,0.0,576.0,19.404,5036.0,0.834,0.794,0.06,4.503,688.573,1,3
Kepler-308 c,Kepler-308,Transit,1,15.38231,0.123,2.16,5.31,2.9,0.0,714.0,58.679,5895.0,0.941,0.92,-0.04,4.508,1335.92,1,2
Kepler-124 b,Kepler-124,Transit,1,3.410493,0.039,0.73,0.315,4.45,0.0,892.0,198.843,4984.0,0.636,0.706,-0.46,4.669,420.046,1,3
Kepler-235 b,Kepler-235,Transit,1,3.340222,0.037,2.23,5.6,2.77,0.0,731.0,44.0,4255.0,0.554,0.581,-0.51,4.73,428.018,1,4
Kepler-392 c,Kepler-392,Transit,1,10.423118,0.093,1.1,1.37,5.66,0.0,901.0,185.098,5938.0,1.129,0.874,-0.4362,4.323,681.428,1,2
Kepler-360 c,Kepler-360,Transit,1,7.186434,0.075,2.1,5.06,3.0,0.0,860.0,146.5,6053.0,1.058,0.994,0.15,4.423,876.044,1,2
Kepler-363 b,Kepler-363,Transit,1,3.614568,0.048,1.16,1.65,5.81,0.0,1347.0,1000.243,5593.0,1.485,1.226,0.3965,4.152,762.596,1,3
Kepler-319 d,Kepler-319,Transit,1,31.781925,0.191,2.29,5.86,2.68,0.0,528.0,17.962,5526.0,0.903,0.933,0.06,4.487,503.436,1,3
Kepler-319 b,Kepler-319,Transit,1,4.362705,0.051,1.63,3.29,4.17,0.0,1023.0,253.665,5526.0,0.903,0.933,0.06,4.487,503.436,1,3
Kepler-398 c,Kepler-398,Transit,1,11.419412,0.087,1.01,1.01,5.39,0.0,536.0,20.556,4493.0,0.613,0.649,0.0528,4.689,177.355,1,3
Kepler-399 b,Kepler-399,Transit,1,14.425281,0.103,0.96,0.84,5.22,0.0,773.0,35.63,5502.0,0.68,0.902,0.14,4.62,740.537,1,3
Kepler-379 b,Kepler-379,Transit,1,20.09838,0.152,1.66,3.39,4.07,0.0,775.0,90.346,6054.0,1.306,1.125,0.09,4.273,731.274,1,2
Kepler-198 b,Kepler-198,Transit,1,17.790037,0.131,2.82,8.35,2.05,0.0,655.0,44.549,5574.0,0.94,0.995,0.1142,4.467,495.358,1,3
Kepler-372 d,Kepler-372,Transit,1,30.092568,0.201,1.69,3.5,3.98,0.0,660.0,53.471,6509.0,1.137,1.202,-0.13,4.405,1493.95,1,3
Kepler-146 b,Kepler-146,Transit,1,31.158799,0.2,3.71,13.3,1.43,0.0,639.0,32.89,5948.0,1.208,1.079,-0.0261,4.312,716.797,1,2
Kepler-250 b,Kepler-250,Transit,1,4.148141,0.048,1.13,1.51,5.75,0.0,938.0,148.103,5160.0,0.805,0.806,0.01,4.565,760.585,1,3
Kepler-390 c,Kepler-390,Transit,1,13.060022,0.101,0.79,0.418,4.66,0.0,630.0,41.351,5166.0,0.776,0.787,-0.0443,4.569,435.277,2,2
Kepler-373 c,Kepler-373,Transit,1,16.725948,0.126,1.24,2.07,5.97,0.0,729.0,103.756,5787.0,0.845,0.981,0.14,4.562,1090.45,1,2
Kepler-326 b,Kepler-326,Transit,1,2.248329,0.032,1.52,44.6,69.8,0.0,1127.0,783.449,5105.0,0.801,0.91,0.2385,4.556,487.675,1,3
Kepler-325 c,Kepler-325,Transit,1,12.762172,0.105,2.54,6.99,2.34,0.0,721.0,53.044,5752.0,1.003,0.914,0.02,4.411,823.242,1,3
Kepler-46 d,Kepler-46,Transit,1,6.766589,0.067,1.64,3.33,4.15,0.0,845.0,92.346,5309.0,0.79,0.883,0.17,4.583,777.06,1,3
Kepler-142 c,Kepler-142,Transit,1,4.761702,0.057,2.86,8.55,2.01,0.0,1201.0,399.444,5790.0,1.269,0.978,0.05,4.262,548.686,1,3
Kepler-374 d,Kepler-374,Transit,1,5.028219,0.056,1.31,2.27,5.55,0.0,1272.0,548.099,5977.0,0.911,1.033,0.1111,4.479,1265.61,1,3
Kepler-375 b,Kepler-375,Transit,1,12.125934,0.101,1.45,2.7,4.87,0.0,851.0,64.444,5826.0,0.837,0.891,-0.04,4.567,1238.81,1,2
Kepler-256 b,Kepler-256,Transit,1,1.620493,0.027,1.59,3.15,4.31,0.0,1681.0,1225.934,5551.0,1.301,1.037,0.26,4.223,1026.43,1,4
Kepler-327 d,Kepler-327,Transit,1,13.969457,0.09,1.73,3.64,3.86,0.0,387.0,7.59,3799.0,0.492,0.591913,-0.2,4.758,241.987,1,3
Kepler-403 c,Kepler-403,Transit,1,54.280749,0.297,1.75,3.71,3.8,0.0,604.0,45.154,6090.0,1.329,1.299,0.079,4.266,840.269,1,3
Kepler-209 c,Kepler-209,Transit,1,41.749882,0.231,3.1,9.8,1.81,0.0,486.0,13.637,5513.0,0.935,0.971,0.11,4.472,576.946,1,2
Kepler-246 c,Kepler-246,Transit,1,11.187161,0.095,1.5,2.86,4.66,0.0,667.0,43.208,5206.0,0.831,0.853,0.2,4.557,626.078,1,2
Kepler-250 d,Kepler-250,Transit,1,17.648312,0.127,2.18,5.39,2.86,0.0,579.0,21.463,5160.0,0.805,0.806,0.01,4.565,760.585,1,3
Kepler-376 b,Kepler-376,Transit,1,4.920199,0.057,1.07,1.24,5.56,0.0,1242.0,689.912,5900.0,1.175,0.968,-0.1038,4.303,923.067,1,2
Kepler-380 c,Kepler-380,Transit,1,7.630004,0.078,1.27,2.15,5.77,0.0,1056.0,333.565,6045.0,1.224,0.99,-0.16,4.293,813.713,1,2
Kepler-130 d,Kepler-130,Transit,1,87.517905,0.377,1.64,3.33,4.15,0.8,451.0,9.834,5884.0,1.127,0.927,-0.199,4.304,316.663,2,3
Kepler-252 b,Kepler-252,Transit,1,6.668391,0.058,1.23,2.04,6.02,0.0,587.0,39.264,4208.0,0.549,0.61,-0.13,4.721,379.424,1,2
Kepler-255 b,Kepler-255,Transit,1,5.714606,0.063,1.55,3.02,4.46,0.0,971.0,174.395,5573.0,0.933,0.867,0.3386,4.516,1052.53,1,3
Kepler-381 b,Kepler-381,Transit,1,5.629021,0.066,0.99,0.937,5.31,0.0,1576.0,716.085,6152.0,1.568,1.144,-0.2016,4.12,267.323,1,3
Kepler-383 c,Kepler-383,Transit,1,31.200751,0.172,1.24,2.07,5.97,0.0,406.0,6.44,4710.0,0.672,0.669,-0.1785,4.624,470.0,1,2
Kepler-331 d,Kepler-331,Transit,1,32.134328,0.159,1.64,3.33,4.15,0.0,346.0,6.065,4347.0,0.492,0.653,0.1179,4.768,580.119,1,3
Kepler-333 c,Kepler-333,Transit,1,24.08821,0.135,1.11,1.41,5.67,0.0,386.0,7.049,4259.0,0.534,0.601,0.0465,4.732,324.413,2,2
HATS-33 b,HATS-33,Transit,1,2.5495551,0.03727,13.78707,378.85336,0.79,0.08,1429.0,757.1284,5659.0,1.022,1.062,0.29,4.445,248.46,1,1
TOI-3856 b,TOI-3856,Transit,1,2.04360352,0.0325,13.59649359,171.62733978,0.371,0.083,1544.0,949.0,5622.0,1.055,1.096,0.454,4.431,314.443,1,1
TOI-5789 e,TOI-5789,Radial Velocity,0,62.98,0.2901,3.43,11.61,1.58,0.071,424.0,,5185.0,0.833,0.821,-0.12,4.511,20.4581,1,4
K2-55 b,K2-55,Transit,1,2.849271,0.03486,4.43,44.0,2.8,0.07,900.0,141.3,4300.0,0.715,0.688,0.376,4.566,159.522,1,1
K2-60 b,K2-60,Transit,1,3.00265,0.045,7.655747,135.39558,1.7,0.0,1400.0,1212.0,5500.0,1.12,0.97,0.01,4.07,491.87,1,1
Kepler-405 c,Kepler-405,Transit,1,29.726682,0.188,4.66,19.6,1.06,0.0,557.0,14.086,5818.0,0.893,0.873,-0.06,4.536,1065.08,1,2
Kepler-256 d,Kepler-256,Transit,1,5.839172,0.064,2.48,6.71,2.42,0.0,1097.0,221.1,5551.0,1.301,1.037,0.26,4.223,1026.43,1,4
Kepler-258 c,Kepler-258,Transit,1,33.653079,0.193,3.61,12.7,1.48,0.0,470.0,7.985,4942.0,0.915,0.82,0.3031,4.441,575.988,1,2
Kepler-387 c,Kepler-387,Transit,1,11.837549,0.098,0.89,0.64,4.99,0.0,826.0,144.963,5774.0,1.046,0.85,-0.3,4.353,801.052,1,2
Kepler-334 d,Kepler-334,Transit,1,25.09849,0.168,1.41,2.57,5.04,0.0,656.0,39.475,5828.0,1.068,1.022,-0.012,4.385,426.59,1,3
Kepler-336 b,Kepler-336,Transit,1,2.024823,0.033,1.02,1.04,5.39,0.0,1625.0,1652.5,5867.0,1.304,1.09,0.337,4.264,768.86,1,3
Kepler-149 c,Kepler-149,Transit,1,55.328328,0.281,1.61,3.22,4.24,0.0,436.0,10.084,5381.0,0.953,1.013,0.3805,4.465,571.034,1,3
Kepler-393 c,Kepler-393,Transit,1,14.613612,0.124,1.33,2.33,5.44,0.0,901.0,231.213,6189.0,1.382,1.256,0.0322,4.233,881.404,1,2
Kepler-292 c,Kepler-292,Transit,1,3.715335,0.045,1.47,2.76,4.77,0.0,1001.0,242.416,5299.0,0.826,0.865,0.04,4.536,1056.48,1,5
Kepler-337 b,Kepler-337,Transit,1,3.292781,0.045,1.54,2.99,4.5,0.0,1458.0,1589.012,5684.0,1.761,1.081,0.07,4.004,677.975,1,2
Kepler-338 c,Kepler-338,Transit,1,24.310856,0.172,2.34,6.08,2.61,0.03,831.0,119.648,5923.0,1.735,1.105,-0.029,4.017,552.798,1,4
Kepler-164 b,Kepler-164,Transit,1,5.03503,0.058,1.41,2.57,5.04,0.0,1141.0,370.922,5888.0,1.148,1.036,0.0,4.331,890.758,1,4
Kepler-169 f,Kepler-169,Transit,1,87.090195,0.359,2.58,7.18,2.3,0.0,321.0,2.439,4997.0,0.763,0.825,0.17,4.582,406.529,1,5
Kepler-265 b,Kepler-265,Transit,1,6.846262,0.069,1.86,4.12,3.52,0.0,1022.0,220.328,5835.0,1.103,0.97,-0.11,4.326,1280.25,1,4
Kepler-269 c,Kepler-269,Transit,1,8.127899,0.081,1.69,3.5,3.98,0.0,875.0,342.6,5847.0,0.959,0.92,0.4,4.5,2257.32,1,2
Kepler-395 b,Kepler-395,Transit,1,7.054346,0.061,1.03,1.08,5.43,0.0,576.0,17.8,4262.0,0.556,0.622827,-0.02,4.729,421.382,1,2
Kepler-298 d,Kepler-298,Transit,1,77.473633,0.305,2.5,6.8,2.39,0.0,277.0,1.715,4465.0,0.582,0.66,-0.21,4.709,518.204,1,3
Kepler-339 c,Kepler-339,Transit,1,6.988055,0.069,1.15,7.3,26.4,0.0,914.0,101.841,5631.0,0.802,0.87,0.033,4.586,616.637,1,3
Kepler-339 d,Kepler-339,Transit,1,10.558345,0.091,1.17,14.7,50.4,0.0,796.0,58.651,5631.0,0.802,0.87,0.033,4.586,616.637,1,3
Kepler-171 d,Kepler-171,Transit,1,39.595519,0.223,1.89,4.23,3.44,0.0,497.0,15.103,5642.0,0.839,0.978,0.17,4.566,863.855,1,3
Kepler-174 d,Kepler-174,Transit,1,247.35373,0.677,2.19,5.43,2.84,0.0,212.0,0.53,4880.0,0.622,0.602,-0.56,4.679,384.757,1,3
Kepler-272 d,Kepler-272,Transit,1,10.937304,0.091,2.25,5.69,2.74,0.0,777.0,141.135,5297.0,0.929,0.91,0.04,4.426,889.608,1,3
Kepler-206 d,Kepler-206,Transit,1,23.44281,0.163,1.19,1.81,5.9,0.0,681.0,44.17,5764.0,1.185,0.957,0.0213,4.311,594.447,1,3
Kepler-122 c,Kepler-122,Transit,1,12.465988,0.108,5.87,29.0,0.788,0.0,897.0,160.499,6050.0,1.216,0.982,-0.08,4.299,1027.45,1,5
Kepler-251 c,Kepler-251,Transit,1,16.514043,0.122,2.77,8.1,2.09,0.0,655.0,38.953,5526.0,0.89,0.891,-0.06,4.486,924.625,1,4
Kepler-234 c,Kepler-234,Transit,1,7.21205,0.077,3.51,12.1,1.54,0.0,1025.0,273.304,6224.0,1.113,1.129,0.22,4.421,1733.1,1,2
KOI-1257 b,KOI-1257,Transit,1,86.647661,0.382,10.54,460.83,2.1,0.772,511.0,7.28,5520.0,1.13,0.99,0.27,4.32,656.0,2,1
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,Microlensing,0,,1.7,12.9,1500.0,3.84,,,,,,0.37,,,6800.0,1,1
Kepler-200 b,Kepler-200,Transit,1,8.594805,0.08,2.13,5.18,2.95,0.0,854.0,159.069,5678.0,0.944,0.972,-0.006,4.454,665.912,1,2
Kepler-188 c,Kepler-188,Transit,1,5.996553,0.066,3.19,10.3,1.74,0.0,1025.0,257.348,6021.0,1.141,1.021,0.15,4.346,968.544,1,2
Kepler-252 c,Kepler-252,Transit,1,10.848463,0.08,2.15,5.27,2.91,0.0,499.0,20.507,4208.0,0.549,0.61,-0.13,4.721,379.424,1,2
Kepler-158 c,Kepler-158,Transit,1,28.551383,0.158,1.9,4.27,3.42,0.0,418.0,6.677,4623.0,0.624,0.655,-0.3,4.66,315.177,1,3
TOI-1272 b,TOI-1272,Transit,1,3.31599,0.0417,4.13204907,27.0,2.09,0.35,975.0,120.595,5065.0,0.7934,0.8772,0.182,4.582,137.572,1,2
KELT-12 b,KELT-12,Transit,1,5.031623,0.06708,19.95202,301.9385,0.209,0.0,1800.0,1749.0,6279.0,2.37,1.591,0.19,3.889,368.03,1,1
TOI-5720 b,TOI-5720,Transit,1,1.4344555,0.018288,1.09,4.3,,,708.0,41.7,3325.0,0.383,0.383,0.03,5.01,35.8256,1,1
Kepler-421 b,Kepler-421,Transit,1,704.1984,1.219,4.16,16.1,1.23,0.041,185.0,0.2,5308.0,0.757,0.794,-0.25,4.61,348.558,1,1
Kepler-343 c,Kepler-343,Transit,1,23.22182,0.167,2.02,4.74,3.16,0.0,746.0,57.932,5807.0,1.433,1.055,0.1445,4.184,927.193,1,2
Kepler-347 c,Kepler-347,Transit,1,27.320871,0.183,1.75,3.71,3.8,0.0,705.0,65.707,6088.0,1.005,0.922,-0.14,4.472,1298.88,1,3
Kepler-190 b,Kepler-190,Transit,1,2.019999,0.03,1.56,3.05,4.41,0.0,1166.0,417.238,5106.0,0.795,0.834,0.06,4.561,433.387,1,2
Kepler-253 c,Kepler-253,Transit,1,10.281951,0.089,2.65,7.51,2.22,0.0,680.0,51.273,5208.0,0.786,0.86,0.15,4.595,838.595,1,3
Kepler-170 c,Kepler-170,Transit,1,16.665863,0.131,2.86,8.55,2.01,0.0,702.0,50.682,5679.0,1.035,1.066,0.39,4.445,738.657,1,2
Kepler-205 c,Kepler-205,Transit,1,20.306546,0.122,1.64,3.33,4.15,0.0,389.0,7.14,4321.0,0.546,0.592,-0.1254,4.735,159.72,1,2
KELT-7 b,KELT-7,Transit,1,2.73477,0.04415,17.9344,441.7837,0.442,0.0,2048.0,1775.39,6768.0,1.81,1.76,0.0,4.5,136.681,1,1
WASP-127 b,WASP-127,Transit,1,4.17806203,0.0484,14.694999,52.346601,0.097,0.0,1400.0,703.971,5620.0,1.333,0.95,-0.193,4.18,159.507,2,1
TOI-216.02,TOI-216,Transit,1,17.16073,0.1293,8.0,18.75187601,0.34,0.16,628.0,25.9,5026.0,0.748,0.77,0.32,4.66,177.945,1,2
HATS-59 c,HATS-59,Radial Velocity,0,1422.0,2.504,12.3,4036.441,11.9,0.083,175.9,0.159,5670.0,1.036,1.038,0.18,4.422,642.884,1,2
Kepler-202 b,Kepler-202,Transit,1,4.069427,0.045,1.63,3.29,4.17,0.0,802.0,108.504,4668.0,0.667,0.683,-0.21,4.65,285.111,1,2
Kepler-214 c,Kepler-214,Transit,1,28.7798,0.194,2.13,5.18,2.95,0.0,619.0,87.244,6169.0,1.352,1.11,-0.02,4.249,1208.44,1,2
Kepler-192 b,Kepler-192,Transit,1,9.926746,0.09,2.74,7.95,2.12,0.0,803.0,105.297,5479.0,1.007,1.028,0.357,4.428,651.674,1,3
Kepler-196 c,Kepler-196,Transit,1,47.427737,0.24,2.24,5.65,2.76,0.0,407.0,6.88,5128.0,0.782,0.839,0.03,4.566,451.312,1,3
Kepler-245 d,Kepler-245,Transit,1,36.277108,0.202,3.03,21.6,0.0111,0.0,445.0,9.492,5100.0,0.795,0.856,0.12,4.56,861.527,1,4
Kepler-101 c,Kepler-101,Transit,1,6.02976,0.0684,1.25,3.78,10.5,0.0,1413.0,596.069,5667.0,1.56,1.17,0.33,4.12,927.981,1,2
Kepler-154 b,Kepler-154,Transit,1,33.040532,0.198,2.26,5.73,2.73,0.0,561.0,28.11,5690.0,1.001,0.933,0.02,4.415,915.212,1,5
Kepler-359 d,Kepler-359,Transit,1,77.095691,0.372,4.01,2.7,0.1,0.0,464.0,5.5,6248.0,1.086,0.827,-0.29,4.429,1443.21,1,3
Kepler-256 c,Kepler-256,Transit,1,3.38802,0.045,2.15,5.27,2.91,0.0,1315.0,457.066,5551.0,1.301,1.037,0.26,4.223,1026.43,1,4
Kepler-254 b,Kepler-254,Transit,1,5.826662,0.064,3.87,14.3,1.36,0.0,1013.0,184.341,5957.0,0.91,0.849,-0.13,4.524,1389.48,1,3
Kepler-184 c,Kepler-184,Transit,1,20.303005,0.141,1.97,8.8,6.32,0.0,630.0,29.875,5788.0,0.873,0.872,-0.1958,4.51,610.326,1,3
Kepler-248 b,Kepler-248,Transit,1,6.308205,0.066,3.02,9.38,1.87,0.0,819.0,79.311,5190.0,0.831,0.838,0.17,4.573,738.792,1,2
KIC 10001893 b,KIC 10001893,Orbital Brightness Modulation,0,0.2197,,,,,,,,27500.0,0.18,0.47,-0.093,5.35,1672.94,1,3
KIC 10001893 c,KIC 10001893,Orbital Brightness Modulation,0,0.32528,,,,,,,,27500.0,0.18,0.47,-0.093,5.35,1672.94,1,3
Kepler-172 b,Kepler-172,Transit,1,2.940309,0.04,2.35,6.12,2.59,0.0,1256.0,639.476,5526.0,1.085,1.081,0.39,4.375,828.592,1,4
Kepler-205 b,Kepler-205,Transit,1,2.75564,0.032,1.51,2.89,4.61,0.0,757.0,102.562,4321.0,0.546,0.592,-0.1254,4.735,159.72,1,2
Kepler-257 c,Kepler-257,Transit,1,6.581484,0.066,5.41,25.2,0.875,0.0,881.0,88.6,5180.0,1.037,0.916,0.4,4.36,780.256,1,3
Kepler-217 b,Kepler-217,Transit,1,5.374943,0.065,2.23,5.6,2.77,0.0,1413.0,1366.477,6171.0,1.799,1.342,-0.07,4.03,1104.64,1,3
Kepler-174 c,Kepler-174,Transit,1,44.000529,0.214,1.49,2.83,4.7,0.0,377.0,5.296,4880.0,0.622,0.602,-0.56,4.679,384.757,1,3
Kepler-251 d,Kepler-251,Transit,1,30.133001,0.182,2.77,8.1,2.09,0.0,536.0,17.477,5526.0,0.89,0.891,-0.06,4.486,924.625,1,4
Kepler-423 b,Kepler-423,Transit,1,2.6843285,0.03585,13.361,189.101,0.459,0.019,1605.0,649.148,5560.0,0.95,0.85,-0.1,4.41,758.753,1,1
TOI-561 e,TOI-561,Transit,1,77.144,0.33,2.517,12.4,4.3,0.074,416.0,4.89,5342.0,0.843,0.806,-0.41,4.47,85.799,1,4
LTT 1445 A b,LTT 1445 A,Transit,1,5.3587635,0.0381,1.34,2.73,6.2,0.18,431.0,5.7,3562.0,0.271,0.257,-0.34,4.97389,6.86929,3,2
KELT-11 b,KELT-11,Transit,1,4.73620865,0.0623,15.13212395,65.15482343,0.093,0.0,1712.0,1433.0,5375.0,2.69,1.44,0.17,3.7,99.1596,1,1
TOI-2537 c,TOI-2537,Radial Velocity,0,1920.0,2.78,12.7,2297.89938261,6.16,0.287,123.1,,4870.0,0.771,0.771,0.08,4.551,184.986,1,2
TOI-1749 b,TOI-1749,Transit,1,2.38839,0.0291,1.39,57.0,,0.14,831.0,83.8379,3985.0,0.55,0.58,-0.26,4.7,99.5561,1,3
TOI-3819 b,TOI-3819,Transit,1,3.2443141,0.04611,13.13692538,352.78953177,0.85,0.0,1633.0,1186.0,5859.0,1.538,1.242,0.273,4.156,558.141,1,1
KIC 10001893 d,KIC 10001893,Orbital Brightness Modulation,0,0.81161,,,,,,,,27500.0,0.18,0.47,-0.093,5.35,1672.94,1,3
Kepler-361 b,Kepler-361,Transit,1,8.486616,0.086,1.45,2.7,4.87,0.0,1060.0,411.905,6169.0,1.343,1.191,0.04,4.254,930.32,1,2
Kepler-362 b,Kepler-362,Transit,1,10.327186,0.087,0.88,0.615,4.96,0.0,838.0,207.336,5788.0,0.722,0.904,-0.12,4.639,1090.51,1,2
Kepler-218 c,Kepler-218,Transit,1,44.699576,0.248,3.14,10.0,1.77,0.0,500.0,16.147,5502.0,1.063,1.019,0.37,4.391,656.38,1,3
Kepler-193 b,Kepler-193,Transit,1,11.38848,0.106,2.39,6.3,2.54,0.0,979.0,117.303,6335.0,1.147,1.051,0.0,4.403,1009.1,1,2
Kepler-253 d,Kepler-253,Transit,1,18.119869,0.13,3.17,10.2,1.76,0.0,563.0,24.084,5208.0,0.786,0.86,0.15,4.595,838.595,1,3
Kepler-192 c,Kepler-192,Transit,1,21.2234,0.15,2.79,8.2,2.07,0.0,623.0,38.216,5479.0,1.007,1.028,0.357,4.428,651.674,1,3
